2011-09-07 18:25 Test Hex(23V) found Yellow Den
2011-09-07 18:25 Test Hex(2N) found Fertile 0
2011-09-07 18:25 Test Hex(14T) found Fertile 0
2011-09-07 18:25 Test Hex(13F) found Fertile 0
2011-09-07 18:25 Test Hex(25J) found Black Den
2011-09-07 18:25 Test Hex(22C) found Fertile 0
2011-09-07 18:25 Test Hex(25AD) found Green Den
2011-09-07 18:25 Test Hex(22AD) found Fertile 0
2011-09-07 18:25 Test Hex(25B) added Yellow Den
2011-09-07 18:25 Test Hex(25C) added Fertile 0
2011-09-07 18:25 Test Hex(25B) added 14 Yellow
2011-09-07 18:25 Test Hex(9N) added Yellow Den
2011-09-07 18:25 Test Hex(9O) added Fertile 0
2011-09-07 18:25 Test Hex(9N) added 14 Yellow
2011-09-07 18:25 Test Hex(7J) found Black Den
2011-09-07 18:25 Test Hex(17AD) added Grey Den
2011-09-07 18:25 Test Hex(17AE) added Fertile 0
2011-09-07 18:25 Test Hex(18AD) added Fertile 0
2011-09-07 18:25 Test Hex(17AC) added Fertile 0
2011-09-07 18:25 Test Hex(17AD) added 44 Grey
2011-09-07 18:25 Test Hex(10Z) found Fertile 0
2011-09-07 18:25 Test Hex(11F) added Grey Den
2011-09-07 18:25 Test Hex(12F) added Fertile 0
2011-09-07 18:25 Test Hex(11F) added 14 Grey
2011-09-07 18:25 Test Hex(7O) found Green Den
2011-09-07 18:25 Test Hex(5Z) found Yellow Den
2011-09-07 18:25 Test Hex(23N) found Fertile 0
2011-09-07 18:25 Test Hex(22R) found Fertile 0
2011-09-07 18:25 Test Hex(17C) added Yellow Den
2011-09-07 18:25 Test Hex(18D) added Fertile 0
2011-09-07 18:25 Test Hex(18C) added Fertile 0
2011-09-07 18:25 Test Hex(18B) added Fertile 0
2011-09-07 18:25 Test Hex(17B) added Fertile 0
2011-09-07 18:25 Test Hex(17C) added 59 Yellow
2011-09-07 18:25 Test Hex(29AA) found Grey Den
2011-09-07 18:25 Test Hex(29C) found Fertile 0
2011-09-07 18:25 Test Hex(16Q) found Black Den
2011-09-07 18:25 Test Hex(21U) found Green Den
2011-09-07 18:25 Test Hex(30AA) found Fertile 0
2011-09-07 18:25 Test Hex(9Z) found Fertile 0
2011-09-07 18:25 Test Hex(6AC) added Yellow Den
2011-09-07 18:25 Test Hex(5AC) added Fertile 0
2011-09-07 18:25 Test Hex(7AD) added Fertile 0
2011-09-07 18:25 Test Hex(6AC) added 29 Yellow
2011-09-07 18:25 Test Hex(18O) found Red Den
2011-09-07 18:25 Test Hex(12E) found Green Den
2011-09-07 18:25 Test Hex(30M) added Red Den
2011-09-07 18:25 Test Hex(29M) added Fertile 0
2011-09-07 18:25 Test Hex(30N) added Fertile 0
2011-09-07 18:25 Test Hex(31N) added Fertile 0
2011-09-07 18:25 Test Hex(30M) added 44 Red
2011-09-07 18:25 Test Hex(19F) found Fertile 0
2011-09-07 18:25 Test Hex(18D) found Fertile 0
2011-09-07 18:25 Test Hex(30AC) found Fertile 0
2011-09-07 18:25 Test Hex(26AA) found Fertile 0
2011-09-07 18:25 Test Hex(29G) found Fertile 0
2011-09-07 18:25 Test Hex(6F) found Black Den
2011-09-07 18:25 Test Hex(16Q) found Black Den
2011-09-07 18:25 Test Hex(9AA) found Black Den
2011-09-07 18:25 Test Hex(13Q) found Fertile 0
2011-09-07 18:25 Test Hex(11F) found Grey Den
2011-09-07 18:25 Test Hex(11F) found Grey Den
2011-09-07 18:25 Test Hex(26F) found Fertile 0
2011-09-07 18:25 Test Hex(17C) found Yellow Den
2011-09-07 18:25 Test Hex(26V) found Fertile 0
2011-09-07 18:25 Test Hex(8I) found Yellow Den
2011-09-07 18:25 Test Hex(13F) found Fertile 0
2011-09-07 18:25 Test Hex(12F) found Fertile 0
2011-09-07 18:25 Test Hex(2AD) found Fertile 0
2011-09-07 18:25 Test Hex(6P) found Fertile 0
2011-09-07 18:25 Test Hex(6O) found Fertile 0
2011-09-07 18:25 Test Hex(5N) found Fertile 0
2011-09-07 18:25 Test Hex(10U) found Fertile 0
2011-09-07 18:25 Test Hex(26O) added Red Den
2011-09-07 18:25 Test Hex(27N) added Fertile 0
2011-09-07 18:25 Test Hex(26O) added 14 Red
2011-09-07 18:25 Test Hex(25Q) found Fertile 0
2011-09-07 18:25 Test Hex(29C) found Fertile 0
2011-09-07 18:25 Test Hex(17R) found Fertile 0
2011-09-07 18:25 Test Hex(13B) found Black Den
2011-09-07 18:25 Test Hex(13W) added Red Den
2011-09-07 18:25 Test Hex(13V) added Fertile 0
2011-09-07 18:25 Test Hex(13W) added 14 Red
2011-09-07 18:25 Test Hex(9AE) added Yellow Den
2011-09-07 18:25 Test Hex(10AE) added Fertile 0
2011-09-07 18:25 Test Hex(9AD) added Fertile 0
2011-09-07 18:25 Test Hex(9AE) added 29 Yellow
2011-09-07 18:25 Test Hex(5F) found Fertile 0
2011-09-07 18:25 Test Hex(16Q) found Black Den
2011-09-07 18:25 Test Hex(30Y) added Yellow Den
2011-09-07 18:25 Test Hex(29Y) added Fertile 0
2011-09-07 18:25 Test Hex(30Y) added 14 Yellow
2011-09-07 18:25 Test Hex(2N) found Fertile 0
2011-09-07 18:25 Test Hex(17Y) found Red Den
2011-09-07 18:25 Test Hex(1X) found Grey Den
2011-09-07 18:25 Test Hex(14AD) found Fertile 0
2011-09-07 18:25 Test Hex(29AC) found Green Den
2011-09-07 18:25 Test Hex(2W) found Fertile 0
2011-09-07 18:25 Test Hex(12P) found Black Den
2011-09-07 18:25 Test Hex(1G) found Fertile 0
2011-09-07 18:25 Test Hex(26V) found Fertile 0
2011-09-07 18:25 Test Hex(9Q) added Yellow Den
2011-09-07 18:25 Test Hex(10R) added Fertile 0
2011-09-07 18:25 Test Hex(10Q) added Fertile 0
